ROLE,COST_RATE_MONTHLY
Project Manager,8000
Program Manager,8000
Program Director,10000
Engineering Manager,8000
Senior Design Engineer,6000
CFD Engineers,6000
Controls Engineer,6000
Safety Engineer,6000
Security Architect,6500
Safety Architect,6500
Test Engineer,5000
Knowledge Engineer,4500
Systems Engineer,5000
Security Analyst,5000
Junior Dev,4000
Normal Worker,4000
CFD Analysis,6000
Thermal Systems,6000
Motor Control,6000
Functional Safety,6000
Test & Validation,5000
Documentation,4000
Cybersecurity,6000
